Bond,KappaTR0,HbyR0,ZcmbyR0,WbyR0,RWbyR0,PbyR0,AbyR02
3.897913387842457e-08,1.9743133965615633,2.0162462415742786,1.0022284704855364,1.0114406627330668,0.14446433804247194,3.183495532608069,12.635627198406358
4.006702398561472e-06,2.0016748983192727,1.9897921820317066,0.9889801382788513,0.9997853274399686,0.09120448430241587,3.138652401605035,12.54899050652938
4.006357204923475e-05,2.0015886702625685,1.9918346842858041,0.9913278503116479,0.99976599648717,0.07315519606307032,3.1381299093351496,12.550078525581794
0.0004004733196802,2.0011829493582036,1.992797685660744,0.9924860255519984,0.9996961173401867,0.05483176022091374,3.138008139461388,12.550929796387653
0.0006345843621919,2.000988915554654,1.993110264034233,0.9929029819961369,0.9996445499300796,0.05347670336047011,3.1379167698847144,12.550973835879947
0.0010054459853568,2.0006880225931503,1.9950262349766283,0.9949684315823412,0.9996968269819285,0.0024332049613227124,3.1372128074323586,12.551227440667159
0.0015928401556204,2.000258376926965,1.9929123951249916,0.9930534479835156,0.9997754543950721,0.012619052962019773,3.137117805435079,12.551965012432124
0.0025228225237247,1.999601021113673,1.9909460898350495,0.9913836750767311,0.999912650210884,0.015025325411735882,3.13680830529949,12.552757821558348
0.0039943505438843,1.9985871369255583,1.9892102651497372,0.9900928184226672,1.0001448204239043,0.01257258563378461,3.1359470864699186,12.553074065342445
0.0041819728473925,1.9984376558208645,1.9863432286866276,0.9873037822371316,1.0001839833280484,0.024209406528941425,3.137023402767748,12.556361769566179
0.004378455460439,1.9982989865276515,1.9862889100901964,0.9873128972955506,1.0002166554329293,0.023552483795629492,3.1367505517375354,12.55602146563535
0.0045841439000326,1.9981547557803578,1.9862164965882751,0.9873058918051338,1.0002511870890953,0.023063527133964274,3.136510587135651,12.555744722594481
0.0048002079834386,1.998158926207332,1.9860949385065942,0.9870948253429287,1.0002289808221936,0.06761036923358453,3.1361605707359024,12.551270479702152
0.0050256755078953,1.9980079966014972,1.9857477845364255,0.9868131097453384,1.0002615047435504,0.06802806173082357,3.136075279723421,12.55128551673307
0.0052616963105765,1.997850051384519,1.9853796136993422,0.9865132691110882,1.0002966127137811,0.06860931554572673,3.1359860992440725,12.551304656294384
0.005508761243419,1.9976848450644409,1.9849758719696795,0.9861808088190853,1.0003340505872167,0.0707282707738867,3.135897280821722,12.55132813423188
0.0057673841546123,1.997512197546717,1.9845957641607035,0.9858749145169681,1.0003739666290203,0.07034507303470858,3.1357901264630956,12.551345640305394
0.0060381004278119,1.9973315676339731,1.9841056694284285,0.9854623044721519,1.0004162769262928,0.07285243287779727,3.1357099284095473,12.551385357097098
0.0063214590765522,1.997140714166529,1.9839223306018872,0.9853603245775527,1.0004625122242257,0.07296455598862532,3.135564710969902,12.551412360580027
0.006618091784148,1.996946330289908,1.9832648223724312,0.9847851559176193,1.0005087161744768,0.0734474427745611,3.1354625887117646,12.551410428714929
0.0069285598752179,1.9967398579765294,1.9823177859989076,0.9839144746611095,1.000568666322244,0.07536364277053044,3.135265222004925,12.551383693647196
0.007253520110125,1.9965234233191322,1.9817976647469588,0.9834868672132948,1.000619288522782,0.07646876266890953,3.135143653523058,12.551410071721794
0.0075936454224234,1.9962970140185392,1.9812577606606485,0.9830435232548892,1.000673106872475,0.07791646938896055,3.135012374515969,12.551437518598116
0.0079496348787567,1.99605999740262,1.9806819518819418,0.9825686674914459,1.0007301402897062,0.07972188161067183,3.1348787353102416,12.551472447118998
0.0083222197402186,1.99581181542502,1.9801606500214428,0.9821529559408413,1.0007908975252502,0.07967409897142722,3.1347174646952403,12.551503727723203
0.0087121731787926,1.9955529223514923,1.9795361382424912,0.9816380388558912,1.0008545701639266,0.08011225100368446,3.134568912563096,12.551537173362973
0.0091202855439134,1.9952816930121207,1.9788452735045496,0.9810619613569768,1.000922058878622,0.08207237030896385,3.1344224433683134,12.551583221393301
0.0095473969781624,1.9949981183031487,1.9783334914930422,0.9806698847005858,1.0009932242288317,0.07824389986816892,3.134201420253563,12.551606777875193
0.009994395643943,1.9947031285889005,1.9771114548740902,0.9795603001224171,1.00106693493843,0.08513842780938437,3.1339928908428805,12.551569156343573
0.0104621579856232,1.994392521236585,1.9763888429232617,0.9789690553338212,1.0011432159121392,0.08643423015981642,3.1338110893938684,12.551612263530009
0.0109516553719279,1.9940676339964287,1.9755369328068237,0.9782542936941868,1.001223715245086,0.09017233320538673,3.1336460264972836,12.55166834769602
0.0114638668068485,1.9937264282277978,1.975048128446236,0.977909915932323,1.0013092861206982,0.08580439549734167,3.1333590855015383,12.551700460576145
0.0119998804585723,1.9933724874955199,1.9739092675769454,0.9769192033378155,1.0013979736328626,0.0933720760583716,3.1332474115429876,12.551777823285349
0.0125607328698581,1.9930008768110197,1.9730237028501614,0.9761895901242642,1.0014920434029861,0.09577623878074285,3.1330368753431603,12.551837280239852
0.0131475918265384,1.9926136744411378,1.97173303964328,0.975049458824618,1.0015850045993078,0.0986250709252775,3.132735074669344,12.551796685208663
0.0137615988065014,1.9922069292957383,1.9707977823427845,0.9742851249562924,1.001686261479199,0.10036215114969149,3.1325033323581346,12.551862626394088
0.0144040104249691,1.9917815883181589,1.969834242899795,0.973499998484075,1.0017928595667747,0.10185398705844183,3.1322653623574173,12.551940014961206
0.0150761208219357,1.991337189927536,1.9687933859690494,0.9726450121271633,1.0019048048728865,0.10395629745318788,3.1320170259327917,12.552009497330346
0.0157792638178056,1.99087213761095,1.9677301572587846,0.971776134478552,1.0020228026745932,0.10585691414953034,3.131756423584484,12.552092641572965
