KappaT,Bond,Height,Zcm,Width,Rfoot,Perimeter,SurfaceArea
1.999999993357627e+00,1.000000000000000e-08,1.999999913051707e+00,9.999999158158807e-01,1.000000001672290e+00,2.648380638489000e-06,3.141592648380638e+00,1.256637061443754e+01
1.999999988169100e+00,1.778279410038923e-08,1.999999852078413e+00,9.999998570044725e-01,1.000000002969422e+00,4.644312337171785e-06,3.141592644312337e+00,1.256637061443753e+01
1.999999978942424e+00,3.162277660168379e-08,1.999999747454567e+00,9.999997562250867e-01,1.000000005276095e+00,7.637078887051229e-06,3.141592637078887e+00,1.256637061443760e+01
1.999999962534855e+00,5.623413251903490e-08,1.999999569758754e+00,9.999995853657607e-01,1.000000009377989e+00,1.262421916247454e-05,3.141592624219162e+00,1.256637061443767e+01
1.999999933357606e+00,1.000000000000000e-07,1.999999270665697e+00,9.999992984298922e-01,1.000000016672301e+00,2.160135138627425e-05,3.141592601351386e+00,1.256637061443778e+01
1.999999881472309e+00,1.778279410038923e-07,1.999998768367629e+00,9.999988177507001e-01,1.000000029643624e+00,3.756068777192115e-05,3.141592560687772e+00,1.256637061443807e+01
1.999999789205767e+00,3.162277660168379e-07,1.999997929282711e+00,9.999980171101680e-01,1.000000052710253e+00,6.648837825758014e-05,3.141592488378258e+00,1.256637061443897e+01
1.999999625130096e+00,5.623413251903490e-07,1.999996521571306e+00,9.999966777636078e-01,1.000000093729165e+00,1.153598173105160e-04,3.141592359817311e+00,1.256637061444157e+01
1.999999333357763e+00,1.000000000000000e-06,1.999994173495639e+00,9.999944512596766e-01,1.000000166672229e+00,2.001312499471125e-04,3.141592131249947e+00,1.256637061444924e+01
1.999998814505181e+00,1.778279410038923e-06,1.999990247254472e+00,9.999907412068764e-01,1.000000296385331e+00,3.407249602776313e-04,3.141591724960278e+00,1.256637061447202e+01
1.999997891841203e+00,3.162277660168379e-06,1.999983679374505e+00,9.999845577693793e-01,1.000000527051535e+00,5.690029153782270e-04,3.141591002915378e+00,1.256637061454492e+01
1.999996251088296e+00,5.623413251903491e-06,1.999972651996233e+00,9.999742140357309e-01,1.000000937239493e+00,9.227201369647653e-04,3.141589720136964e+00,1.256637061474310e+01
1.999993333377453e+00,1.000000000000000e-05,1.999954094513487e+00,9.999568722578729e-01,1.000001666666052e+00,1.452442087374766e-03,3.141587442087375e+00,1.256637061532888e+01
1.999988144892638e+00,1.778279410038923e-05,1.999922791364921e+00,9.999277309519757e-01,1.000002963783023e+00,2.214398721267415e-03,3.141583398721267e+00,1.256637061706398e+01
1.999978918381911e+00,3.162277660168380e-05,1.999869972829490e+00,9.998787567118114e-01,1.000005270396085e+00,3.282226918362608e-03,3.141576226918362e+00,1.256637062220030e+01
1.999962511277213e+00,5.623413251903491e-05,1.999780935261797e+00,9.997965551660210e-01,1.000009372125523e+00,4.750517465298582e-03,3.141563517465299e+00,1.256637063746947e+01
1.999933335523195e+00,1.000000000000000e-04,1.999631137864316e+00,9.996589134632790e-01,1.000016665911534e+00,6.744021114596222e-03,3.141541021114596e+00,1.256637068273799e+01
1.999881454978809e+00,1.778279410038923e-04,1.999379814373464e+00,9.994292040968802e-01,1.000029635556699e+00,9.430264404313559e-03,3.141501264404313e+00,1.256637081667655e+01
