Bond,KappaT,Height,Zcm,Width,Rfoot,Perimeter,SurfaceArea,KappaTR0,HbyR0,ZcmbyR0,WbyR0,RWbyR0,PbyR0,AbyR02
0.01000000000000002,19.93355241068748,0.1978798893131663,0.09815549934544035,0.1001658919502686,0.00798375293487288,0.3137068529348732,0.12566721503791745,1.99335524106875,1.978798893131661,0.9815549934544024,1.001658919502685,0.07983752934872873,3.137068529348729,12.56672150379172
0.0125892541179417,17.75052605497565,0.22152063891423723,0.10970733078401662,0.1124358959996095,0.01006369358314613,0.351865297335608,0.15820790422139433,1.991641780725053,1.974304772483004,0.9777676148140384,1.002085977895601,0.08969276347069534,3.136002763470696,12.56690052796081
0.01584893192461117,15.803070526897505,0.2478710850182247,0.12252600945136334,0.12622265596277393,0.012680026897434598,0.3946357307700441,0.1991762031304663,1.989488707068673,1.968910014017185,0.9732586879531196,1.002622194931204,0.1007210338169562,3.134703033816956,12.56716882108463
0.01995262314968885,14.065357078659611,0.2772036423724883,0.1367208214288804,0.14171919036103944,0.015969160801905764,0.4425656695482994,0.2507559782505493,1.986784495213215,1.96245150033531,0.9679092916811226,1.003295033824309,0.1130530006986159,3.133125000698616,12.56756950548929
0.02511886431509587,12.51434508699893,0.30980581464918683,0.1524013004697848,0.15914524717263162,0.02010148944960992,0.49626473983147734,0.3156980464896861,1.983390033649381,1.954742541155736,0.9615871983974332,1.004138625426875,0.1268318240322248,3.131218824032225,12.5681656037275
0.03162277660168389,11.129478166466484,0.3459769854502336,0.16967410594038276,0.17875180283569736,0.02528922222174035,0.5564111345210041,0.3974682161780583,1.979132186790512,1.945571564834462,0.9541476158500238,1.005195256867899,0.1422117473720667,3.128929747372066,12.56904860646846
0.03981071705534985,9.892413881650276,0.3860237097696901,0.18863906500746025,0.20082656877597363,0.03179597885099741,0.6237587825576884,0.5004346603828406,1.973796062213184,1.934701552140077,0.9454349114512404,1.006517124436872,0.1593573868080262,3.126199386808026,12.57035033272758
0.0501187233627274,8.786783658199376,0.43025321963973673,0.2093843610622131,0.2257007824030498,0.03994863266733836,0.6991454448495197,0.6301055759315534,1.967115831563782,1.921870536831946,0.9352855853950344,1.00816836235077,0.1784439874136598,3.12296798741366,12.57225910107986
0.06309573444801955,7.797979928676919,0.47896487440571667,0.2319809307218927,0.25375763467512763,0.050150301254307805,0.7835020758382528,0.793431473146303,1.958763997602763,1.906793509441707,0.923532719520594,1.010227339468629,0.1996519453475795,3.119177945347579,12.57504140473964
0.07943282347242846,6.912967951556507,0.5324393539009832,0.25647626208121316,0.2854427751587293,0.06289726164943321,0.8778639702750886,0.9991910784491513,1.948339087904509,1.889166117189426,0.9100121180699382,1.01278918486306,0.2231679057934634,3.114778905793463,12.57907039897651
0.1,6.120120090249535,0.5909254697594247,0.28288791665257823,0.32127743595335473,0.07879723060846257,0.9833844640545244,1.2584862528511331,1.935351903894379,1.868670411844734,0.8945701391620227,1.015968458431471,0.2491787220362772,3.109734722036277,12.58486252851133
0.1122018454301964,5.754972705144917,0.6221131484538822,0.29680811380779804,0.34093834345813007,0.08815468591374774,1.0407260521363866,1.4124676791805402,1.927716959520179,1.857245780394548,0.8860857841156238,1.017831404682583,0.2631754671030743,3.106965467103074,12.5886314415325
0.1258925411794168,5.409070658713305,0.6546246092876691,0.3111972660392072,0.36187482246237007,0.098589682872942,1.101352284309807,1.585380316192976,1.919210693021957,1.844982825202028,0.8770730628610646,1.019901822882298,0.2778634794078751,3.104032479407875,12.59312347928189
0.1412537544622755,5.081294716574965,0.6884746999579343,0.326046498490178,0.384181240196736,0.11021905620433875,1.165449091964705,1.779580570192151,1.909740616702121,1.831841887215542,0.8675200891924713,1.022200653296041,0.2932626049102575,3.100939604910257,12.59846562639453
0.1584893192461114,4.77058970836502,0.7236729760484581,0.3413440760505585,0.4079605218613152,0.12317103301383169,1.233214052882489,1.9977268501842422,1.899205970668832,1.817784329386279,0.857417553107572,1.024750499455005,0.3093916465824623,3.097693646582462,12.6048042838903
0.1778279410038924,4.475961522448206,0.7602230483937601,0.3570753311370289,0.4333250674915743,0.1375868404812175,1.3048575213491538,2.242820689002486,1.887497323497283,1.80277294739891,0.8467590511987785,1.027575671053581,0.3262698157622237,3.094304815762224,12.61230758417989
0.1995262314968881,4.196474344957312,0.7981219034847964,0.3732226252764371,0.4603977658815424,0.153620386213804,1.380603931719889,2.5182540627923435,1.874496234774893,1.786772376485813,0.8355413805983297,1.030702210628646,0.3439132059318752,3.090787205931875,12.62116787301533
0.2238721138568341,3.931248137266288,0.8373592107316827,0.38976535865205175,0.48931311216711404,0.17143986733975292,1.4606933002369513,2.8278639608903693,1.86007500543752,1.769749514287676,0.8237648136191109,1.034157899613555,0.3623362806136164,3.087159280613616,12.6316043216476
0.2511886431509582,3.6794563414601873,0.8779166107762586,0.40668002192621705,0.5202184360530945,0.19122867565432244,1.5453829538812145,3.175995461756522,1.844096545028756,1.75167392916707,0.8114333220000982,1.037972241008787,0.3815513700744763,3.083444370074476,12.64386566970636
0.2818382931264456,3.4403238071406355,0.9197669880803714,0.42394029236071273,0.5532752472917183,0.2131862953660444,1.6349495181143876,3.567574808848609,1.826414392328495,1.732518249640367,0.7985547457032961,1.042176415798289,0.401568171157953,3.079671171157953,12.65823309271899
0.3162277660168383,3.213124931709098,0.9628737307095511,0.4415171752229134,0.5886607045026419,0.23753029935458428,1.7296911965793471,4.008194258938899,1.806872932099445,1.712258529788156,0.7851409018774537,1.046803210316054,0.4223952406026386,3.075874240602638,12.67502316265762
