KappaT,Bond,Height,Zcm,Width,Rfoot,Perimeter,SurfaceArea
1.999999916080227e+00,1.258925411794156e-07,1.999999099260017e+00,9.999991342226761e-01,1.000000020989554e+00,2.658783075419976e-05,3.141592587830754e+00,1.256637061454649e+01
1.999999894349043e+00,1.584893192461098e-07,1.999998889928855e+00,9.999989339461700e-01,1.000000026422349e+00,3.337079921755732e-05,3.141592570799217e+00,1.256637061454661e+01
1.999999866991103e+00,1.995262314968858e-07,1.999998632439414e+00,9.999986878558659e-01,1.000000033261832e+00,4.184935849292381e-05,3.141592549358493e+00,1.256637061454677e+01
1.999999832549499e+00,2.511886431509552e-07,1.999998316103222e+00,9.999983858703406e-01,1.000000041872232e+00,5.252236689526705e-05,3.141592522366895e+00,1.256637061454705e+01
1.999999789190087e+00,3.162277660168341e-07,1.999997927145602e+00,9.999980149791392e-01,1.000000052712083e+00,6.578838836304242e-05,3.141592488388363e+00,1.256637061454749e+01
1.999999734603829e+00,3.981071705534921e-07,1.999997449339971e+00,9.999975599177784e-01,1.000000066358648e+00,8.234561427344114e-05,3.141592445614273e+00,1.256637061454821e+01
1.999999665883804e+00,5.011872336272653e-07,1.999996862622178e+00,9.999970018333170e-01,1.000000083538654e+00,1.029917684252686e-04,3.141592391768425e+00,1.256637061454935e+01
1.999999579370420e+00,6.309573444801840e-07,1.999996142475339e+00,9.999963177337087e-01,1.000000105166998e+00,1.287239857999469e-04,3.141592323985800e+00,1.256637061455104e+01
1.999999470456537e+00,7.943282347242692e-07,1.999995257850170e+00,9.999954784893037e-01,1.000000132395469e+00,1.604386621546140e-04,3.141592238662155e+00,1.256637061455375e+01
1.999999333342085e+00,9.999999999999836e-07,1.999994171967589e+00,9.999944497377046e-01,1.000000166674073e+00,1.996312593882406e-04,3.141592131259388e+00,1.256637061455777e+01
1.999999160725253e+00,1.258925411794146e-06,1.999992838407815e+00,9.999931881015517e-01,1.000000209828275e+00,2.476960686874446e-04,3.141591996068687e+00,1.256637061456402e+01
1.999998943413563e+00,1.584893192461085e-06,1.999991200889031e+00,9.999916411292051e-01,1.000000264156188e+00,3.065259052370991e-04,3.141591825905237e+00,1.256637061457383e+01
1.999998669834413e+00,1.995262314968842e-06,1.999989189107245e+00,9.999897433385769e-01,1.000000332550955e+00,3.780117305269599e-04,3.141591611730527e+00,1.256637061458874e+01
1.999998325419028e+00,2.511886431509531e-06,1.999986716804992e+00,9.999874145423653e-01,1.000000418655069e+00,4.644421733273799e-04,3.141591342173327e+00,1.256637061461773e+01
1.999997891825568e+00,3.162277660168315e-06,1.999983677216419e+00,9.999845556173309e-01,1.000000527053383e+00,5.683029270353379e-04,3.141591002927035e+00,1.256637061465342e+01
1.999997345963983e+00,3.981071705534888e-06,1.999979938238631e+00,9.999810440812231e-01,1.000000663518696e+00,6.922759992283598e-04,3.141590575999228e+00,1.256637061470839e+01
