KappaT,Bond,Height,Zcm,Width,Rfoot,Perimeter,SurfaceArea
1.996664291685214e+00,5.011872336272490e-03,1.988196116863461e+00,9.895827955202833e-01,1.000833349125589e+00,5.770798614813583e-02,3.139222986148136e+00,1.256647110313865e+01
1.995802382878298e+00,6.309573444801633e-03,1.985633084700205e+00,9.873770404604060e-01,1.001048491393504e+00,6.472205341860254e-02,3.138647753418602e+00,1.256652335893729e+01
1.994718341373070e+00,7.943282347242432e-03,1.982536097145488e+00,9.847288208244830e-01,1.001318973790112e+00,7.258076194081856e-02,3.137939061940819e+00,1.256660233788100e+01
1.993355248883120e+00,9.999999999999509e-03,1.978801304256366e+00,9.815573969638517e-01,1.001658915574398e+00,8.138271461974432e-02,3.137068514619744e+00,1.256672140438237e+01
1.991641790597832e+00,1.258925411794104e-02,1.974307180913169e+00,9.777700136806035e-01,1.002085972953118e+00,9.123694561174769e-02,3.136002745611748e+00,1.256690040318472e+01
1.989488719501598e+00,1.584893192461033e-02,1.968912417104387e+00,9.732610790790216e-01,1.002622188701336e+00,1.022632120332457e-01,3.134703012033246e+00,1.256716866423697e+01
1.986784510858966e+00,1.995262314968777e-02,1.962453897096628e+00,9.679116735114310e-01,1.003295025977313e+00,1.145924739993791e-01,3.133124973999379e+00,1.256756930850164e+01
1.983390053311677e+00,2.511886431509449e-02,1.954744929059271e+00,9.615895677149952e-01,1.004138615555520e+00,1.283674912159486e-01,3.131218791215948e+00,1.256816535671607e+01
1.979132211461349e+00,3.162277660168211e-02,1.945573940730126e+00,9.541499686857308e-01,1.005195244468164e+00,1.437423069803595e-01,3.128929706980359e+00,1.256904829731702e+01
1.973796093124920e+00,3.981071705534758e-02,1.934703913376133e+00,9.454372441722880e-01,1.006517108880428e+00,1.608814370507612e-01,3.126199337050761e+00,1.257034994648336e+01
1.967115870174187e+00,5.011872336272448e-02,1.921872877556083e+00,9.352878910466712e-01,1.008168342871680e+00,1.799591261404704e-01,3.122967926140470e+00,1.257225861974168e+01
1.958764045782884e+00,6.309573444801582e-02,1.906795827303565e+00,9.235349943958022e-01,1.010227315120362e+00,2.011566699881101e-01,3.119177869988110e+00,1.257504080649441e+01
1.948339147856956e+00,7.943282347242367e-02,1.889168406812351e+00,9.100143553028407e-01,1.012789154493300e+00,2.246597134330781e-01,3.114778813433078e+00,1.257906965800504e+01
