KappaT,Bond,Height,Zcm,Width,Rfoot,Perimeter,SurfaceArea
1.999579449696567e+00,6.309573444801685e-04,1.998071991578518e+00,9.982471696598385e-01,1.000105128415878e+00,1.899505845248371e-02,3.141273758452483e+00,1.256637279435333e+01
1.999470587292525e+00,7.943282347242497e-04,1.997634573458016e+00,9.978550808940923e-01,1.000132338631075e+00,2.148954250649848e-02,3.141192942506498e+00,1.256637396566605e+01
1.999333554426512e+00,1.000000000000000e-03,1.997099807360067e+00,9.973773643417155e-01,1.000166588290504e+00,2.428932215502639e-02,3.141091922155026e+00,1.256637576147291e+01
1.999252266077194e+00,1.122018454301963e-03,1.996789499404522e+00,9.971008932328934e-01,1.000186904385056e+00,2.581503534642237e-02,3.141032335346422e+00,1.256637699117460e+01
1.999161066883297e+00,1.258925411794166e-03,1.996446635611246e+00,9.967959872045357e-01,1.000209696640612e+00,2.743136147000571e-02,3.140965761470006e+00,1.256637851269399e+01
1.999058749561278e+00,1.412537544622753e-03,1.996067895694992e+00,9.964598267899701e-01,1.000235266478175e+00,2.914340102745685e-02,3.140891401027457e+00,1.256638039470829e+01
1.998943960053129e+00,1.584893192461111e-03,1.995649636442295e+00,9.960893301738782e-01,1.000263951925687e+00,3.095696688036630e-02,3.140808366880366e+00,1.256638272220007e+01
1.998815179692208e+00,1.778279410038919e-03,1.995187859883264e+00,9.956811286756712e-01,1.000296131986867e+00,3.287787522567601e-02,3.140715675225676e+00,1.256638559890273e+01
1.998670705374647e+00,1.995262314968875e-03,1.994678183461077e+00,9.952315449598668e-01,1.000332231657776e+00,3.491253619393791e-02,3.140612236193938e+00,1.256638915360675e+01
1.998508627206957e+00,2.238721138568333e-03,1.994115804083056e+00,9.947365661965746e-01,1.000372727413429e+00,3.706744329911345e-02,3.140496843299113e+00,1.256639354451383e+01
1.998326803555079e+00,2.511886431509572e-03,1.993495462872730e+00,9.941918189160689e-01,1.000418153407909e+00,3.934966225529186e-02,3.140368162255292e+00,1.256639896626626e+01
1.998122833100872e+00,2.818382931264444e-03,1.992811405059818e+00,9.935925401824798e-01,1.000469108395013e+00,4.176661893630015e-02,3.140224718936300e+00,1.256640565820999e+01
1.997894023559409e+00,3.162277660168366e-03,1.992057338363570e+00,9.929335485680448e-01,1.000526263449381e+00,4.432628645654008e-02,3.140064886456540e+00,1.256641391413313e+01
1.997637356762413e+00,3.548133892335738e-03,1.991226386824453e+00,9.922092119426167e-01,1.000590370662214e+00,4.703677164497260e-02,3.139886871644972e+00,1.256642409593877e+01
1.997349449460488e+00,3.981071705534953e-03,1.990311044679796e+00,9.914134170169521e-01,1.000662272711647e+00,4.990690030014493e-02,3.139688700300145e+00,1.256643664667391e+01
1.997026509664926e+00,4.466835921509607e-03,1.989303125130537e+00,9.905395353936085e-01,1.000742913682126e+00,5.294600211237446e-02,3.139468202112374e+00,1.256645211009005e+01
1.996664287792133e+00,5.011872336272694e-03,1.988193706169091e+00,9.895803886589577e-01,1.000833351062086e+00,5.616369472570634e-02,3.139222994725706e+00,1.256647115258364e+01
1.996258022141226e+00,5.623413251903456e-03,1.986973075611604e+00,9.885282147540948e-01,1.000934769140047e+00,5.957026732450656e-02,3.138950467324506e+00,1.256649459051050e+01
1.995802377970727e+00,6.309573444801891e-03,1.985630672155665e+00,9.873746327338935e-01,1.001048493857918e+00,6.317666364171082e-02,3.138647763641710e+00,1.256652342169130e+01
1.995291379694647e+00,7.079457843841330e-03,1.984155023368904e+00,9.861106068418412e-01,1.001176009466533e+00,6.699416518641611e-02,3.138311765186416e+00,1.256655886697207e+01
1.994718335171704e+00,7.943282347242757e-03,1.982533684187090e+00,9.847264139305243e-01,1.001318976904384e+00,7.103497418180812e-02,3.137939074181808e+00,1.256660241698139e+01
1.994075751456111e+00,8.912509381337386e-03,1.980753169784194e+00,9.832116081446665e-01,1.001479254270870e+00,7.531149716202661e-02,3.137525997162027e+00,1.256665589045594e+01
1.993355241053468e+00,9.999999999999919e-03,1.978798891962856e+00,9.815549922912710e-01,1.001658919506969e+00,7.983712939264588e-02,3.137068529392646e+00,1.256672150401296e+01
1.992547417713362e+00,1.122018454301954e-02,1.976655091594544e+00,9.797445886503172e-01,1.001860295512645e+00,8.462594073068283e-02,3.136562340730682e+00,1.256680195622059e+01
1.991641780709396e+00,1.258925411794156e-02,1.974304771333415e+00,9.777676136704443e-01,1.002085977900332e+00,8.969236350919572e-02,3.136002763509195e+00,1.256690052819710e+01
